PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_47271643,sample_oslo_change_me_2015_2018,6,1,Built,"5,991,508,586.911","1,079,492,626.276",351,Megan,1,2015
id_47271643,sample_oslo_change_me_2015_2018,6,1,Built,"5,991,508,586.911","1,079,492,626.276",351,Megan,1,2018
id_47271643,sample_oslo_change_me_2015_2018,6,1,Built,"5,991,508,586.911","1,079,492,626.276",351,Megan,1,2021
id_47277350,sample_oslo_change_dw_2015_2018,13,8,Water,"5,988,797,453.471","1,082,652,345.283",352,Megan,7,2015
id_47277350,sample_oslo_change_dw_2015_2018,13,8,Water,"5,988,797,453.471","1,082,652,345.283",352,Megan,7,2018
id_47277350,sample_oslo_change_dw_2015_2018,13,8,Water,"5,988,797,453.471","1,082,652,345.283",352,Megan,7,2021
id_47288692,sample_oslo_change_dw_2018_2021,11,6,Mixed,"5,985,282,344.11","1,085,459,349.396",353,Megan,6,2015
id_47288692,sample_oslo_change_dw_2018_2021,11,6,Mixed,"5,985,282,344.11","1,085,459,349.396",353,Megan,6,2018
id_47288692,sample_oslo_change_dw_2018_2021,11,6,Mixed,"5,985,282,344.11","1,085,459,349.396",353,Megan,6,2021
id_4729601,sample_oslo_change_me_2015_2018,11,6,Tree,"6,002,151,569.306","1,056,939,830.878",354,Megan,6,2015
id_4729601,sample_oslo_change_me_2015_2018,11,6,Tree,"6,002,151,569.306","1,056,939,830.878",354,Megan,6,2018
id_4729601,sample_oslo_change_me_2015_2018,11,6,Tree,"6,002,151,569.306","1,056,939,830.878",354,Megan,6,2021
id_47307282,sample_oslo_change_dw_2015_2021,6,1,Built,"5,991,307,481.454","1,075,081,683.514",355,Megan,1,2015
id_47307282,sample_oslo_change_dw_2015_2021,6,1,Built,"5,991,307,481.454","1,075,081,683.514",355,Megan,1,2018
id_47307282,sample_oslo_change_dw_2015_2021,6,1,Built,"5,991,307,481.454","1,075,081,683.514",355,Megan,1,2021
id_47307313,sample_oslo_change_me_2018_2021,11,6,Tree,"6,005,729,551.991","1,073,168,729.162",356,Megan,6,2015
id_47307313,sample_oslo_change_me_2018_2021,11,6,Tree,"6,005,729,551.991","1,073,168,729.162",356,Megan,6,2018
id_47307313,sample_oslo_change_me_2018_2021,11,6,Tree,"6,005,729,551.991","1,073,168,729.162",356,Megan,6,2021
id_47330425,sample_oslo_change_dw_2018_2021,12,5,Tree,"6,005,262,684.111","1,080,561,918.709",357,Megan,6,2015
id_47330425,sample_oslo_change_dw_2018_2021,12,5,Tree,"6,005,262,684.111","1,080,561,918.709",357,Megan,6,2018
id_47330425,sample_oslo_change_dw_2018_2021,12,5,Tree,"6,005,262,684.111","1,080,561,918.709",357,Megan,6,2021
id_47331198,sample_oslo_change_me_2015_2021,1,8,Water,"5,988,001,058.023","1,070,369,305.521",358,Megan,8,2015
id_47331198,sample_oslo_change_me_2015_2021,1,8,Water,"5,988,001,058.023","1,070,369,305.521",358,Megan,8,2018
id_47331198,sample_oslo_change_me_2015_2021,1,8,Water,"5,988,001,058.023","1,070,369,305.521",358,Megan,8,2021
id_47363671,sample_oslo_change_dw_2015_2018,6,1,Tree,"5,997,514,996.03","1,064,514,505.838",359,Megan,1,2015
id_47363671,sample_oslo_change_dw_2015_2018,6,1,Tree,"5,997,514,996.03","1,064,514,505.838",359,Megan,1,2018
id_47363671,sample_oslo_change_dw_2015_2018,6,1,Tree,"5,997,514,996.03","1,064,514,505.838",359,Megan,1,2021
id_473669,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,991,736,892.885","1,067,609,567.879",360,Megan,6,2015
id_473669,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,991,736,892.885","1,067,609,567.879",360,Megan,6,2018
id_473669,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,991,736,892.885","1,067,609,567.879",360,Megan,6,2021
id_47380257,sample_oslo_change_me_2015_2021,6,1,Tree,"5,993,614,174.429","1,091,347,592.337",361,Megan,1,2015
id_47380257,sample_oslo_change_me_2015_2021,6,1,Built,"5,993,614,174.429","1,091,347,592.337",361,Megan,1,2018
id_47380257,sample_oslo_change_me_2015_2021,6,1,Built,"5,993,614,174.429","1,091,347,592.337",361,Megan,1,2021
id_47385528,sample_oslo_change_me_2018_2021,11,6,Tree,"6,001,881,347.782","1,080,862,016.21",362,Megan,6,2015
id_47385528,sample_oslo_change_me_2018_2021,11,6,Tree,"6,001,881,347.782","1,080,862,016.21",362,Megan,6,2018
id_47385528,sample_oslo_change_me_2018_2021,11,6,Tree,"6,001,881,347.782","1,080,862,016.21",362,Megan,6,2021
id_47393109,sample_oslo_change_dw_2018_2021,11,6,Tree,"6,000,224,791.741","1,077,866,392.122",363,Megan,6,2015
id_47393109,sample_oslo_change_dw_2018_2021,11,6,Tree,"6,000,224,791.741","1,077,866,392.122",363,Megan,6,2018
id_47393109,sample_oslo_change_dw_2018_2021,11,6,Tree,"6,000,224,791.741","1,077,866,392.122",363,Megan,6,2021
id_47393947,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,996,749,814.29","1,079,775,779.193",364,Megan,1,2015
id_47393947,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,996,749,814.29","1,079,775,779.193",364,Megan,1,2018
id_47393947,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,996,749,814.29","1,079,775,779.193",364,Megan,1,2021
id_47398737,sample_oslo_change_me_2015_2021,6,1,Built,"5,996,142,484.726","1,067,240,800.222",365,Megan,1,2015
id_47398737,sample_oslo_change_me_2015_2021,6,1,Built,"5,996,142,484.726","1,067,240,800.222",365,Megan,1,2018
id_47398737,sample_oslo_change_me_2015_2021,6,1,Built,"5,996,142,484.726","1,067,240,800.222",365,Megan,1,2021
id_47422220,sample_oslo_change_dw_2015_2021,10,1,Mixed,"5,988,537,041.969","1,083,942,809.127",366,Megan,6,2015
id_47422220,sample_oslo_change_dw_2015_2021,10,1,Mixed,"5,988,537,041.969","1,083,942,809.127",366,Megan,6,2018
id_47422220,sample_oslo_change_dw_2015_2021,10,1,Mixed,"5,988,537,041.969","1,083,942,809.127",366,Megan,6,2021
id_47432121,sample_oslo_change_me_2018_2021,10,1,Grass,"5,995,078,989.125","1,068,924,110.869",367,Megan,6,2015
id_47432121,sample_oslo_change_me_2018_2021,10,1,Grass,"5,995,078,989.125","1,068,924,110.869",367,Megan,6,2018
id_47432121,sample_oslo_change_me_2018_2021,10,1,Built,"5,995,078,989.125","1,068,924,110.869",367,Megan,6,2021
id_47439767,sample_oslo_change_me_2015_2021,11,6,Tree,"6,012,158,683.89","1,068,412,651.978",368,Megan,6,2015
id_47439767,sample_oslo_change_me_2015_2021,11,6,Tree,"6,012,158,683.89","1,068,412,651.978",368,Megan,6,2018
id_47439767,sample_oslo_change_me_2015_2021,11,6,Tree,"6,012,158,683.89","1,068,412,651.978",368,Megan,6,2021
id_47445256,sample_oslo_change_me_2015_2018,11,6,Shrub,"6,003,621,289.013","1,069,539,466.815",369,Megan,6,2015
id_47445256,sample_oslo_change_me_2015_2018,11,6,Shrub,"6,003,621,289.013","1,069,539,466.815",369,Megan,6,2018
id_47445256,sample_oslo_change_me_2015_2018,11,6,Shrub,"6,003,621,289.013","1,069,539,466.815",369,Megan,6,2021
id_47478125,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,996,178,603.445","1,073,475,961.225",370,Megan,6,2015
id_47478125,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,996,178,603.445","1,073,475,961.225",370,Megan,6,2018
id_47478125,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,996,178,603.445","1,073,475,961.225",370,Megan,6,2021
id_475028,sample_oslo_change_me_2015_2018,1,8,Water,"5,998,605,692.148","1,078,711,391.772",371,Megan,8,2015
id_475028,sample_oslo_change_me_2015_2018,1,8,Water,"5,998,605,692.148","1,078,711,391.772",371,Megan,8,2018
id_475028,sample_oslo_change_me_2015_2018,1,8,Water,"5,998,605,692.148","1,078,711,391.772",371,Megan,8,2021
id_47520535,sample_oslo_change_dw_2015_2021,2,8,Built,"5,990,843,734.944","1,072,106,571.291",372,Megan,8,2015
id_47520535,sample_oslo_change_dw_2015_2021,2,8,Built,"5,990,843,734.944","1,072,106,571.291",372,Megan,8,2018
id_47520535,sample_oslo_change_dw_2015_2021,2,8,Built,"5,990,843,734.944","1,072,106,571.291",372,Megan,8,2021
id_47560655,sample_oslo_change_dw_2015_2018,1,8,Water,"5,985,083,914.114","1,077,700,067.653",373,Megan,8,2015
id_47560655,sample_oslo_change_dw_2015_2018,1,8,Water,"5,985,083,914.114","1,077,700,067.653",373,Megan,8,2018
id_47560655,sample_oslo_change_dw_2015_2018,1,8,Water,"5,985,083,914.114","1,077,700,067.653",373,Megan,8,2021
id_47583120,sample_oslo_change_me_2018_2021,11,6,Grass,"6,006,598,630.786","1,074,040,483.418",374,Megan,6,2015
id_47583120,sample_oslo_change_me_2018_2021,11,6,Grass,"6,006,598,630.786","1,074,040,483.418",374,Megan,6,2018
id_47583120,sample_oslo_change_me_2018_2021,11,6,Grass,"6,006,598,630.786","1,074,040,483.418",374,Megan,6,2021
id_4758983,sample_oslo_change_dw_2015_2018,2,1,Built,"5,994,194,749.386","1,085,276,526.253",375,Megan,1,2015
id_4758983,sample_oslo_change_dw_2015_2018,2,1,Built,"5,994,194,749.386","1,085,276,526.253",375,Megan,1,2018
id_4758983,sample_oslo_change_dw_2015_2018,2,1,Built,"5,994,194,749.386","1,085,276,526.253",375,Megan,1,2021
id_47609703,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,005,144,963.843","1,069,078,841.676",376,Megan,6,2015
id_47609703,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,005,144,963.843","1,069,078,841.676",376,Megan,6,2018
id_47609703,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,005,144,963.843","1,069,078,841.676",376,Megan,6,2021
id_47648744,sample_oslo_change_me_2015_2018,11,6,Tree,"6,003,295,328.726","1,052,829,877.437",377,Megan,6,2015
id_47648744,sample_oslo_change_me_2015_2018,11,6,Tree,"6,003,295,328.726","1,052,829,877.437",377,Megan,6,2018
id_47648744,sample_oslo_change_me_2015_2018,11,6,Tree,"6,003,295,328.726","1,052,829,877.437",377,Megan,6,2021
id_47676061,sample_oslo_change_dw_2018_2021,9,8,Bare,"6,005,978,815.74","1,064,935,890.887",378,Megan,8,2015
id_47676061,sample_oslo_change_dw_2018_2021,9,8,Bare,"6,005,978,815.74","1,064,935,890.887",378,Megan,8,2018
id_47676061,sample_oslo_change_dw_2018_2021,9,8,Bare,"6,005,978,815.74","1,064,935,890.887",378,Megan,8,2021
id_47698282,sample_oslo_change_dw_2018_2021,2,1,Built,"5,996,066,234.098","1,075,852,216.176",379,Megan,8,2015
id_47698282,sample_oslo_change_dw_2018_2021,2,1,Built,"5,996,066,234.098","1,075,852,216.176",379,Megan,8,2018
id_47698282,sample_oslo_change_dw_2018_2021,2,1,Built,"5,996,066,234.098","1,075,852,216.176",379,Megan,8,2021
id_47715608,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,008,888,825.087","1,072,651,027.53",380,Megan,6,2015
id_47715608,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,008,888,825.087","1,072,651,027.53",380,Megan,6,2018
id_47715608,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,008,888,825.087","1,072,651,027.53",380,Megan,6,2021
id_47725125,sample_oslo_change_me_2015_2021,14,1,Grass,"5,990,506,180.995","1,082,514,113.15",381,Megan,4,2015
id_47725125,sample_oslo_change_me_2015_2021,14,1,Grass,"5,990,506,180.995","1,082,514,113.15",381,Megan,4,2018
id_47725125,sample_oslo_change_me_2015_2021,14,1,Bare,"5,990,506,180.995","1,082,514,113.15",381,Megan,4,2021
id_47735275,sample_oslo_change_dw_2015_2018,11,6,Mixed,"5,983,767,141.573","1,087,819,997.493",382,Megan,6,2015
id_47735275,sample_oslo_change_dw_2015_2018,11,6,Mixed,"5,983,767,141.573","1,087,819,997.493",382,Megan,6,2018
id_47735275,sample_oslo_change_dw_2015_2018,11,6,Mixed,"5,983,767,141.573","1,087,819,997.493",382,Megan,6,2021
id_47747014,sample_oslo_change_me_2015_2021,1,8,Water,"5,989,312,033.732","1,071,097,922.633",383,Megan,8,2015
id_47747014,sample_oslo_change_me_2015_2021,1,8,Water,"5,989,312,033.732","1,071,097,922.633",383,Megan,8,2018
id_47747014,sample_oslo_change_me_2015_2021,1,8,Water,"5,989,312,033.732","1,071,097,922.633",383,Megan,8,2021
id_47749927,sample_oslo_change_dw_2015_2018,9,6,Mixed,"5,983,493,798.678","1,077,080,252.606",384,Megan,6,2015
id_47749927,sample_oslo_change_dw_2015_2018,9,6,Mixed,"5,983,493,798.678","1,077,080,252.606",384,Megan,6,2018
id_47749927,sample_oslo_change_dw_2015_2018,9,6,Mixed,"5,983,493,798.678","1,077,080,252.606",384,Megan,6,2021
id_4776646,sample_oslo_change_me_2015_2021,15,6,Tree,"5,995,513,751.478","1,065,812,104.244",385,Megan,6,2015
id_4776646,sample_oslo_change_me_2015_2021,15,6,Tree,"5,995,513,751.478","1,065,812,104.244",385,Megan,6,2018
id_4776646,sample_oslo_change_me_2015_2021,15,6,Tree,"5,995,513,751.478","1,065,812,104.244",385,Megan,6,2021
id_47830933,sample_oslo_change_me_2015_2018,6,1,Built,"5,994,185,385.274","1,067,177,926.897",386,Megan,1,2015
id_47830933,sample_oslo_change_me_2015_2018,6,1,Built,"5,994,185,385.274","1,067,177,926.897",386,Megan,1,2018
id_47830933,sample_oslo_change_me_2015_2018,6,1,Built,"5,994,185,385.274","1,067,177,926.897",386,Megan,1,2021
id_47857209,sample_oslo_change_me_2018_2021,9,8,Water,"5,989,818,141.702","1,091,129,096.385",387,Megan,6,2015
id_47857209,sample_oslo_change_me_2018_2021,9,8,Water,"5,989,818,141.702","1,091,129,096.385",387,Megan,6,2018
id_47857209,sample_oslo_change_me_2018_2021,9,8,Water,"5,989,818,141.702","1,091,129,096.385",387,Megan,6,2021
id_47876781,sample_oslo_change_dw_2015_2021,8,6,Built,"5,996,422,516.272","1,067,810,227.426",388,Megan,1,2015
id_47876781,sample_oslo_change_dw_2015_2021,8,6,Built,"5,996,422,516.272","1,067,810,227.426",388,Megan,1,2018
id_47876781,sample_oslo_change_dw_2015_2021,8,6,Built,"5,996,422,516.272","1,067,810,227.426",388,Megan,1,2021
id_47887602,sample_oslo_change_me_2015_2018,1,8,Water,"5,987,597,063.467","1,087,553,343.25",389,Megan,8,2015
id_47887602,sample_oslo_change_me_2015_2018,1,8,Water,"5,987,597,063.467","1,087,553,343.25",389,Megan,8,2018
id_47887602,sample_oslo_change_me_2015_2018,1,8,Water,"5,987,597,063.467","1,087,553,343.25",389,Megan,8,2021
id_47913398,sample_oslo_change_me_2018_2021,14,1,Tree,"5,987,544,000.165","1,077,778,101.921",390,Megan,1,2015
id_47913398,sample_oslo_change_me_2018_2021,14,1,Tree,"5,987,544,000.165","1,077,778,101.921",390,Megan,1,2018
id_47913398,sample_oslo_change_me_2018_2021,14,1,Tree,"5,987,544,000.165","1,077,778,101.921",390,Megan,1,2021
id_4793001,sample_oslo_change_dw_2015_2018,14,3,Tree,"5,982,364,754.291","1,085,350,547.33",391,Megan,4,2015
