PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_33733270,sample_oslo_change_me_2015_2018,11,6,Tree,"6,002,502,054.649","1,055,395,198.273",451,Erik,6,2015
id_33733270,sample_oslo_change_me_2015_2018,11,6,Tree,"6,002,502,054.649","1,055,395,198.273",451,Erik,6,2018
id_33733270,sample_oslo_change_me_2015_2018,11,6,Tree,"6,002,502,054.649","1,055,395,198.273",451,Erik,6,2021
id_33805992,sample_oslo_change_me_2018_2021,16,6,Wetland,"6,004,248,684.531","1,055,782,248.245",452,Erik,7,2015
id_33805992,sample_oslo_change_me_2018_2021,16,6,Wetland,"6,004,248,684.531","1,055,782,248.245",452,Erik,7,2018
id_33805992,sample_oslo_change_me_2018_2021,16,6,Wetland,"6,004,248,684.531","1,055,782,248.245",452,Erik,7,2021
id_33826532,sample_oslo_change_me_2015_2018,14,1,Skip,"5,984,840,447.196","1,079,115,386.327",453,Erik,1,2015
id_33826532,sample_oslo_change_me_2015_2018,14,1,Skip,"5,984,840,447.196","1,079,115,386.327",453,Erik,1,2018
id_33826532,sample_oslo_change_me_2015_2018,14,1,Skip,"5,984,840,447.196","1,079,115,386.327",453,Erik,1,2021
id_33834011,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,983,755,102","1,087,391,031.972",454,Erik,6,2015
id_33834011,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,983,755,102","1,087,391,031.972",454,Erik,6,2018
id_33834011,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,983,755,102","1,087,391,031.972",454,Erik,6,2021
id_33846344,sample_oslo_change_dw_2015_2021,2,1,Built,"5,993,652,522.698","1,080,342,085.027",455,Erik,8,2015
id_33846344,sample_oslo_change_dw_2015_2021,2,1,Built,"5,993,652,522.698","1,080,342,085.027",455,Erik,8,2018
id_33846344,sample_oslo_change_dw_2015_2021,2,1,Built,"5,993,652,522.698","1,080,342,085.027",455,Erik,8,2021
id_33847012,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,996,826,510.828","1,071,323,999.056",456,Erik,6,2015
id_33847012,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,996,826,510.828","1,071,323,999.056",456,Erik,6,2018
id_33847012,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,996,826,510.828","1,071,323,999.056",456,Erik,6,2021
id_33877149,sample_oslo_change_dw_2015_2021,6,1,Grass,"5,994,777,107.984","1,090,429,909.34",457,Erik,1,2015
id_33877149,sample_oslo_change_dw_2015_2021,6,1,Grass,"5,994,777,107.984","1,090,429,909.34",457,Erik,1,2018
id_33877149,sample_oslo_change_dw_2015_2021,6,1,Grass,"5,994,777,107.984","1,090,429,909.34",457,Erik,1,2021
id_33897590,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,001,460,854.553","1,081,413,161.1",458,Erik,6,2015
id_33897590,sample_oslo_change_dw_2015_2021,11,6,Shrub,"6,001,460,854.553","1,081,413,161.1",458,Erik,6,2018
id_33897590,sample_oslo_change_dw_2015_2021,11,6,Shrub,"6,001,460,854.553","1,081,413,161.1",458,Erik,6,2021
id_33901907,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,006,836,746.783","1,067,404,449.23",459,Erik,6,2015
id_33901907,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,006,836,746.783","1,067,404,449.23",459,Erik,6,2018
id_33901907,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,006,836,746.783","1,067,404,449.23",459,Erik,6,2021
id_33906297,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,987,055,282.689","1,086,486,726.278",460,Erik,6,2015
id_33906297,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,987,055,282.689","1,086,486,726.278",460,Erik,6,2018
id_33906297,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,987,055,282.689","1,086,486,726.278",460,Erik,6,2021
id_33907092,sample_oslo_change_me_2018_2021,6,1,Mixed,"5,993,898,665.076","1,092,169,404.661",461,Erik,1,2015
id_33907092,sample_oslo_change_me_2018_2021,6,1,Mixed,"5,993,898,665.076","1,092,169,404.661",461,Erik,1,2018
id_33907092,sample_oslo_change_me_2018_2021,6,1,Mixed,"5,993,898,665.076","1,092,169,404.661",461,Erik,1,2021
id_33935674,sample_oslo_change_dw_2015_2021,11,6,Water,"6,005,237,713.145","1,073,034,956.13",462,Erik,6,2015
id_33935674,sample_oslo_change_dw_2015_2021,11,6,Water,"6,005,237,713.145","1,073,034,956.13",462,Erik,6,2018
id_33935674,sample_oslo_change_dw_2015_2021,11,6,Water,"6,005,237,713.145","1,073,034,956.13",462,Erik,6,2021
id_33936763,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,995,795,120.754","1,073,957,098.228",463,Erik,1,2015
id_33936763,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,995,795,120.754","1,073,957,098.228",463,Erik,1,2018
id_33936763,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,995,795,120.754","1,073,957,098.228",463,Erik,1,2021
id_34012173,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,993,128,132.414","1,063,384,569.631",464,Erik,6,2015
id_34012173,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,993,128,132.414","1,063,384,569.631",464,Erik,6,2018
id_34012173,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,993,128,132.414","1,063,384,569.631",464,Erik,6,2021
id_3401756,sample_oslo_change_me_2015_2021,5,8,Bare,"5,991,827,412.637","1,067,542,235.453",465,Erik,1,2015
id_3401756,sample_oslo_change_me_2015_2021,5,8,Bare,"5,991,827,412.637","1,067,542,235.453",465,Erik,1,2018
id_3401756,sample_oslo_change_me_2015_2021,5,8,Bare,"5,991,827,412.637","1,067,542,235.453",465,Erik,1,2021
id_34022890,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,999,094,409.624","1,082,359,382.343",466,Erik,6,2015
id_34022890,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,999,094,409.624","1,082,359,382.343",466,Erik,6,2018
id_34022890,sample_oslo_change_dw_2015_2018,11,6,Tree,"5,999,094,409.624","1,082,359,382.343",466,Erik,6,2021
id_34028038,sample_oslo_change_me_2018_2021,3,6,Mixed,"6,011,794,821.244","1,070,877,643.041",467,Erik,8,2015
id_34028038,sample_oslo_change_me_2018_2021,3,6,Mixed,"6,011,794,821.244","1,070,877,643.041",467,Erik,8,2018
id_34028038,sample_oslo_change_me_2018_2021,3,6,Mixed,"6,011,794,821.244","1,070,877,643.041",467,Erik,8,2021
id_34028565,sample_oslo_change_me_2015_2021,2,1,Built,"5,989,444,914.944","1,075,341,203.195",468,Erik,8,2015
id_34028565,sample_oslo_change_me_2015_2021,2,1,Built,"5,989,444,914.944","1,075,341,203.195",468,Erik,8,2018
id_34028565,sample_oslo_change_me_2015_2021,2,1,Built,"5,989,444,914.944","1,075,341,203.195",468,Erik,8,2021
id_34031507,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,004,826,584.028","1,079,604,549.713",469,Erik,6,2015
id_34031507,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,004,826,584.028","1,079,604,549.713",469,Erik,6,2018
id_34031507,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,004,826,584.028","1,079,604,549.713",469,Erik,6,2021
id_3405780,sample_oslo_change_dw_2015_2018,14,1,Grass,"5,982,912,331.901","1,084,738,758.665",470,Erik,4,2015
id_3405780,sample_oslo_change_dw_2015_2018,14,1,Grass,"5,982,912,331.901","1,084,738,758.665",470,Erik,4,2018
id_3405780,sample_oslo_change_dw_2015_2018,14,1,Grass,"5,982,912,331.901","1,084,738,758.665",470,Erik,4,2021
id_34082073,sample_oslo_change_me_2015_2018,9,8,Water,"6,001,822,487.648","1,068,335,063.62",471,Erik,8,2015
id_34082073,sample_oslo_change_me_2015_2018,9,8,Water,"6,001,822,487.648","1,068,335,063.62",471,Erik,8,2018
id_34082073,sample_oslo_change_me_2015_2018,9,8,Water,"6,001,822,487.648","1,068,335,063.62",471,Erik,8,2021
id_34100442,sample_oslo_change_me_2015_2021,11,6,Tree,"5,998,070,154.112","1,091,282,043.551",472,Erik,6,2015
id_34100442,sample_oslo_change_me_2015_2021,11,6,Tree,"5,998,070,154.112","1,091,282,043.551",472,Erik,6,2018
id_34100442,sample_oslo_change_me_2015_2021,11,6,Tree,"5,998,070,154.112","1,091,282,043.551",472,Erik,6,2021
id_34106629,sample_oslo_change_me_2018_2021,4,8,Water,"6,012,632,686.332","1,063,576,756.886",473,Erik,8,2015
id_34106629,sample_oslo_change_me_2018_2021,4,8,Water,"6,012,632,686.332","1,063,576,756.886",473,Erik,8,2018
id_34106629,sample_oslo_change_me_2018_2021,4,8,Water,"6,012,632,686.332","1,063,576,756.886",473,Erik,8,2021
id_34107128,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,998,314,512.849","1,059,356,663.649",474,Erik,6,2015
id_34107128,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,998,314,512.849","1,059,356,663.649",474,Erik,6,2018
id_34107128,sample_oslo_change_dw_2015_2021,11,6,Tree,"5,998,314,512.849","1,059,356,663.649",474,Erik,6,2021
