PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_25411299,sample_oslo_change_me_2015_2021,11,6,Tree,"6,003,518,729.689","1,068,421,570.181",0,Erik,6,2015
id_25411299,sample_oslo_change_me_2015_2021,11,6,Tree,"6,003,518,729.689","1,068,421,570.181",0,Erik,6,2018
id_25411299,sample_oslo_change_me_2015_2021,11,6,Tree,"6,003,518,729.689","1,068,421,570.181",0,Erik,6,2021
id_25411338,sample_oslo_change_dw_2015_2018,6,1,Grass,"5,992,238,095.844","1,080,659,127.112",1,Erik,1,2015
id_25411338,sample_oslo_change_dw_2015_2018,6,1,Grass,"5,992,238,095.844","1,080,659,127.112",1,Erik,1,2018
id_25411338,sample_oslo_change_dw_2015_2018,6,1,Grass,"5,992,238,095.844","1,080,659,127.112",1,Erik,1,2021
id_25413055,sample_oslo_change_me_2015_2021,6,1,Built,"5,994,795,836.208","1,092,865,916.245",2,Erik,1,2015
id_25413055,sample_oslo_change_me_2015_2021,6,1,Built,"5,994,795,836.208","1,092,865,916.245",2,Erik,1,2018
id_25413055,sample_oslo_change_me_2015_2021,6,1,Built,"5,994,795,836.208","1,092,865,916.245",2,Erik,1,2021
id_25415095,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,986,365,013.846","1,080,608,293.36",3,Erik,1,2015
id_25415095,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,986,365,013.846","1,080,608,293.36",3,Erik,1,2018
id_25415095,sample_oslo_change_dw_2015_2018,6,1,Mixed,"5,986,365,013.846","1,080,608,293.36",3,Erik,1,2021
id_25417733,sample_oslo_change_dw_2018_2021,12,4,Mixed,"6,002,337,067.91","1,078,392,566.046",4,Erik,6,2015
id_25417733,sample_oslo_change_dw_2018_2021,12,4,Mixed,"6,002,337,067.91","1,078,392,566.046",4,Erik,6,2018
id_25417733,sample_oslo_change_dw_2018_2021,12,4,Mixed,"6,002,337,067.91","1,078,392,566.046",4,Erik,6,2021
id_25434654,sample_oslo_change_me_2015_2021,15,6,Mixed,"5,986,523,311.934","1,081,492,087.188",5,Erik,4,2015
id_25434654,sample_oslo_change_me_2015_2021,15,6,Mixed,"5,986,523,311.934","1,081,492,087.188",5,Erik,4,2018
id_25434654,sample_oslo_change_me_2015_2021,15,6,Mixed,"5,986,523,311.934","1,081,492,087.188",5,Erik,4,2021
id_25441758,sample_oslo_change_me_2015_2021,11,6,Tree,"5,998,751,950.663","1,074,470,786.67",6,Erik,6,2015
id_25441758,sample_oslo_change_me_2015_2021,11,6,Tree,"5,998,751,950.663","1,074,470,786.67",6,Erik,6,2018
id_25441758,sample_oslo_change_me_2015_2021,11,6,Tree,"5,998,751,950.663","1,074,470,786.67",6,Erik,6,2021
id_25484924,sample_oslo_change_me_2015_2021,11,6,Tree,"5,995,587,326.645","1,075,396,941.958",7,Erik,6,2015
id_25484924,sample_oslo_change_me_2015_2021,11,6,Tree,"5,995,587,326.645","1,075,396,941.958",7,Erik,6,2018
id_25484924,sample_oslo_change_me_2015_2021,11,6,Tree,"5,995,587,326.645","1,075,396,941.958",7,Erik,6,2021
