PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_89827493,sample_oslo_change_me_2015_2018,4,2,Water,"6,006,568,308.899","1,058,587,022.807",101,Zander2,8,2015
id_89827493,sample_oslo_change_me_2015_2018,4,2,Bare,"6,006,568,308.899","1,058,587,022.807",101,Zander2,8,2018
id_89827493,sample_oslo_change_me_2015_2018,4,2,Bare,"6,006,568,308.899","1,058,587,022.807",101,Zander2,8,2021
id_89830905,sample_oslo_change_dw_2015_2021,14,1,Grass,"5,993,204,828.952","1,085,418,325.666",102,Zander2,4,2015
id_89830905,sample_oslo_change_dw_2015_2021,14,1,Grass,"5,993,204,828.952","1,085,418,325.666",102,Zander2,4,2018
id_89830905,sample_oslo_change_dw_2015_2021,14,1,Grass,"5,993,204,828.952","1,085,418,325.666",102,Zander2,4,2021
id_89833141,sample_oslo_change_me_2015_2021,11,6,Tree,"5,990,559,244.297","1,089,562,614.185",103,Zander2,6,2015
id_89833141,sample_oslo_change_me_2015_2021,11,6,Tree,"5,990,559,244.297","1,089,562,614.185",103,Zander2,6,2018
id_89833141,sample_oslo_change_me_2015_2021,11,6,Tree,"5,990,559,244.297","1,089,562,614.185",103,Zander2,6,2021
id_89843270,sample_oslo_change_me_2015_2018,16,4,Grass,"6,002,243,872.698","1,059,725,431.306",104,Zander2,4,2015
id_89843270,sample_oslo_change_me_2015_2018,16,4,Grass,"6,002,243,872.698","1,059,725,431.306",104,Zander2,4,2018
id_89843270,sample_oslo_change_me_2015_2018,16,4,Grass,"6,002,243,872.698","1,059,725,431.306",104,Zander2,4,2021
id_89857638,sample_oslo_change_dw_2015_2021,3,6,Water,"6,004,145,679.297","1,075,455,802.092",105,Zander2,8,2015
id_89857638,sample_oslo_change_dw_2015_2021,3,6,Water,"6,004,145,679.297","1,075,455,802.092",105,Zander2,8,2018
id_89857638,sample_oslo_change_dw_2015_2021,3,6,Water,"6,004,145,679.297","1,075,455,802.092",105,Zander2,8,2021
id_89892326,sample_oslo_change_me_2018_2021,5,8,Water,"5,990,638,170.386","1,071,327,120.427",106,Zander2,8,2015
id_89892326,sample_oslo_change_me_2018_2021,5,8,Water,"5,990,638,170.386","1,071,327,120.427",106,Zander2,8,2018
id_89892326,sample_oslo_change_me_2018_2021,5,8,Water,"5,990,638,170.386","1,071,327,120.427",106,Zander2,8,2021
id_89908860,sample_oslo_change_me_2018_2021,6,1,Built,"5,989,142,587.892","1,079,757,942.789",107,Zander2,1,2015
id_89908860,sample_oslo_change_me_2018_2021,6,1,Built,"5,989,142,587.892","1,079,757,942.789",107,Zander2,1,2018
id_89908860,sample_oslo_change_me_2018_2021,6,1,Built,"5,989,142,587.892","1,079,757,942.789",107,Zander2,1,2021
id_89928782,sample_oslo_change_me_2015_2018,6,1,Built,"5,990,985,534.358","1,076,334,690.91",108,Zander2,1,2015
id_89928782,sample_oslo_change_me_2015_2018,6,1,Built,"5,990,985,534.358","1,076,334,690.91",108,Zander2,1,2018
id_89928782,sample_oslo_change_me_2015_2018,6,1,Built,"5,990,985,534.358","1,076,334,690.91",108,Zander2,1,2021
