PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_91740743,sample_oslo_change_me_2018_2021,4,8,Tree,"5,990,470,062.276","1,069,762,867.777",201,Zander2,8,2015
id_91740743,sample_oslo_change_me_2018_2021,4,8,Tree,"5,990,470,062.276","1,069,762,867.777",201,Zander2,8,2018
id_91740743,sample_oslo_change_me_2018_2021,4,8,Tree,"5,990,470,062.276","1,069,762,867.777",201,Zander2,8,2021
id_9174576,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,002,151,569.306","1,056,939,830.878",202,Zander2,6,2015
id_9174576,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,002,151,569.306","1,056,939,830.878",202,Zander2,6,2018
id_9174576,sample_oslo_change_dw_2015_2021,11,6,Tree,"6,002,151,569.306","1,056,939,830.878",202,Zander2,6,2021
id_91753028,sample_oslo_change_dw_2018_2021,11,6,Wetland,"6,006,232,538.59","1,077,919,901.335",203,Zander2,6,2015
id_91753028,sample_oslo_change_dw_2018_2021,11,6,Wetland,"6,006,232,538.59","1,077,919,901.335",203,Zander2,6,2018
id_91753028,sample_oslo_change_dw_2018_2021,11,6,Wetland,"6,006,232,538.59","1,077,919,901.335",203,Zander2,6,2021
id_91819771,sample_oslo_change_me_2018_2021,7,6,Grass,"5,996,213,384.433","1,074,247,831.617",204,Zander2,1,2015
id_91819771,sample_oslo_change_me_2018_2021,7,6,Grass,"5,996,213,384.433","1,074,247,831.617",204,Zander2,1,2018
id_91819771,sample_oslo_change_me_2018_2021,7,6,Grass,"5,996,213,384.433","1,074,247,831.617",204,Zander2,1,2021
id_9193934,sample_oslo_change_dw_2015_2018,15,1,Grass,"5,996,679,806.403","1,066,658,887.534",205,Zander2,4,2015
id_9193934,sample_oslo_change_dw_2015_2018,15,1,Grass,"5,996,679,806.403","1,066,658,887.534",205,Zander2,4,2018
id_9193934,sample_oslo_change_dw_2015_2018,15,1,Grass,"5,996,679,806.403","1,066,658,887.534",205,Zander2,4,2021
id_91945247,sample_oslo_change_me_2015_2018,11,6,Tree,"6,006,188,393.489","1,079,839,990.248",206,Zander2,6,2015
id_91945247,sample_oslo_change_me_2015_2018,11,6,Tree,"6,006,188,393.489","1,079,839,990.248",206,Zander2,6,2018
id_91945247,sample_oslo_change_me_2015_2018,11,6,Tree,"6,006,188,393.489","1,079,839,990.248",206,Zander2,6,2021
id_91955917,sample_oslo_change_me_2015_2021,6,1,Built,"5,991,768,106.593","1,066,555,436.39",207,Zander2,1,2015
id_91955917,sample_oslo_change_me_2015_2021,6,1,Built,"5,991,768,106.593","1,066,555,436.39",207,Zander2,1,2018
id_91955917,sample_oslo_change_me_2015_2021,6,1,Built,"5,991,768,106.593","1,066,555,436.39",207,Zander2,1,2021
id_91960442,sample_oslo_change_me_2015_2021,13,8,Water,"5,989,132,777.87","1,069,676,807.127",208,Zander2,1,2015
id_91960442,sample_oslo_change_me_2015_2021,13,8,Water,"5,989,132,777.87","1,069,676,807.127",208,Zander2,1,2018
id_91960442,sample_oslo_change_me_2015_2021,13,8,Water,"5,989,132,777.87","1,069,676,807.127",208,Zander2,1,2021
id_91960713,sample_oslo_change_me_2015_2018,10,1,Tree,"5,995,743,841.092","1,073,739,494.097",209,Zander2,6,2015
