PLOTID,batch,changeLC,endLC,groundTruth,lat,lon,sample_index,sampler,startLC,year
id_88993055,sample_oslo_change_me_2015_2018,6,1,Skip,"5,986,953,169.275","1,081,568,783.727",51,Zander2,1,2015
id_88993055,sample_oslo_change_me_2015_2018,6,1,Skip,"5,986,953,169.275","1,081,568,783.727",51,Zander2,1,2018
id_88993055,sample_oslo_change_me_2015_2018,6,1,Skip,"5,986,953,169.275","1,081,568,783.727",51,Zander2,1,2021
id_89037915,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,003,706,457.843","1,055,308,245.803",52,Zander2,6,2015
id_89037915,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,003,706,457.843","1,055,308,245.803",52,Zander2,6,2018
id_89037915,sample_oslo_change_dw_2015_2018,11,6,Tree,"6,003,706,457.843","1,055,308,245.803",52,Zander2,6,2021
id_8906851,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,996,950,027.927","1,084,140,347.304",53,Zander2,6,2015
id_8906851,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,996,950,027.927","1,084,140,347.304",53,Zander2,6,2018
id_8906851,sample_oslo_change_dw_2018_2021,11,6,Tree,"5,996,950,027.927","1,084,140,347.304",53,Zander2,6,2021
id_89117990,sample_oslo_change_me_2015_2018,10,1,Skip,"5,995,054,018.159","1,093,006,377.929",54,Zander2,6,2015
id_89117990,sample_oslo_change_me_2015_2018,10,1,Skip,"5,995,054,018.159","1,093,006,377.929",54,Zander2,6,2018
id_89117990,sample_oslo_change_me_2015_2018,10,1,Skip,"5,995,054,018.159","1,093,006,377.929",54,Zander2,6,2021
id_89134660,sample_oslo_change_dw_2015_2018,7,1,Tree,"5,998,895,979.627","1,066,806,037.869",55,Zander2,1,2015
id_89134660,sample_oslo_change_dw_2015_2018,7,1,Tree,"5,998,895,979.627","1,066,806,037.869",55,Zander2,1,2018
id_89134660,sample_oslo_change_dw_2015_2018,7,1,Tree,"5,998,895,979.627","1,066,806,037.869",55,Zander2,1,2021
