system:index,areaList,batch,.geo
1_1_1_1_1_2_0,"[47602079, 256503, 189390, 135115, 84173, 115651376, 128882, 120898, 1608866, 7330625, 295263126, 3349434, 211799, 1427594, 596659, 6797955]",sample_oslo_change_dw_2015_2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0,"[47773001, 227318, 152653, 30116, 150800, 115045064, 529126, 260339, 1958949, 5627203, 296172728, 3793172, 228484, 1002697, 976612, 6826214]",sample_oslo_change_dw_2015_2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0,"[49129011, 82399, 251249, 44258, 202598, 120909201, 2818661, 735637, 616551, 738821, 292994233, 1828453, 163074, 171860, 1766976, 8301493]",sample_oslo_change_dw_2018_2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,"[49419904, 32046, 280612, 342321, 392225, 65550373, 4008381, 4498912, 379038, 1860477, 286525311, 10844034, 287306, 5646214, 7110681, 43576640]",sample_oslo_change_me_2015_2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,"[50136645, 125529, 98731, 117569, 77876, 67421308, 1860147, 3729779, 421102, 2684981, 288383374, 6435527, 459332, 3895557, 11155789, 43751129]",sample_oslo_change_me_2018_2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,"[49716278, 58913, 210587, 89104, 408614, 64803426, 4457839, 4779912, 645826, 2854604, 285455946, 10652484, 324237, 6410431, 11373668, 38512505]",sample_oslo_change_me_2015_2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
