system:index,PLOTID,dw_2015_2018,dw_2015_2021,dw_2018_2021,me_2015_2018,me_2015_2021,me_2018_2021,.geo
000000000000000003c8,id_83471986,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.754767598673457,59.97095394621265]}"
0000000000000000051c,id_43545488,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.754767598673457,59.97095394621265]}"
00000000000000000769,id_26403554,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.754767598673457,59.97095394621265]}"
00000000000000000ae3,id_5851705,6.0,6.0,6.0,6.0,8.0,8.0,"{""type"":""Point"",""coordinates"":[10.808107365474777,59.94373559338242]}"
0000000000000000033c,id_8025481,11.0,11.0,11.0,12.0,11.0,15.0,"{""type"":""Point"",""coordinates"":[10.687073985581096,60.12289781460882]}"
00000000000000000684,id_12633545,11.0,11.0,11.0,12.0,11.0,15.0,"{""type"":""Point"",""coordinates"":[10.687073985581096,60.12289781460882]}"
000000000000000006dc,id_1455467,11.0,11.0,11.0,12.0,11.0,15.0,"{""type"":""Point"",""coordinates"":[10.687073985581096,60.12289781460882]}"
000000000000000002e5,id_78302269,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.847788905749395,59.87178353878402]}"
00000000000000000422,id_41605525,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.847788905749395,59.87178353878402]}"
00000000000000000281,id_95899118,5.0,5.0,1.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.776006296991019,59.86899660062562]}"
0000000000000000050a,id_4309924,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.595742677804417,60.10642589531739]}"
000000000000000007ae,id_28112390,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.595742677804417,60.10642589531739]}"
00000000000000000984,id_66925788,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.595742677804417,60.10642589531739]}"
000000000000000009ac,id_67749415,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.595742677804417,60.10642589531739]}"
00000000000000000b8b,id_62421452,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.595742677804417,60.10642589531739]}"
00000000000000000217,id_76404198,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.751548127712867,60.11685127358035]}"
000000000000000002e8,id_7835871,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.751548127712867,60.11685127358035]}"
000000000000000006f3,id_14956942,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.751548127712867,60.11685127358035]}"
00000000000000000ac2,id_57731727,6.0,6.0,6.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.806082933596512,59.86365013846253]}"
00000000000000000275,id_95607912,9.0,11.0,3.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.755539023155704,60.06335989734322]}"
000000000000000001c1,id_92881081,6.0,5.0,5.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.718581993624744,59.891492765440255]}"
000000000000000004ad,id_51504898,16.0,15.0,15.0,15.0,15.0,11.0,"{""type"":""Point"",""coordinates"":[10.852194497590196,59.841809461502756]}"
00000000000000000215,id_76391935,16.0,14.0,14.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.846384288917553,59.90440632209103]}"
0000000000000000074a,id_25573064,9.0,11.0,3.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.912677744279138,59.903639356709846]}"
0000000000000000008c,id_86113707,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.883836278665447,59.88375622511252]}"
00000000000000000209,id_76242338,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.883836278665447,59.88375622511252]}"
00000000000000000249,id_94824827,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.883836278665447,59.88375622511252]}"
0000000000000000034b,id_8057731,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.883836278665447,59.88375622511252]}"
000000000000000004b3,id_51624094,13.0,16.0,4.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.830010469849302,59.847329828606924]}"
00000000000000000460,id_49633022,8.0,8.0,16.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.772595084685136,59.95921759223999]}"
0000000000000000007c,id_85604245,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.875533432503932,59.87597063467321]}"
000000000000000005d4,id_47887602,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.875533432503932,59.87597063467321]}"
0000000000000000068f,id_12936754,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.875533432503932,59.87597063467321]}"
0000000000000000081f,id_31199694,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.875533432503932,59.87597063467321]}"
00000000000000000119,id_89365909,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.705481154729721,59.89399878023229]}"
0000000000000000028f,id_96224977,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.705481154729721,59.89399878023229]}"
00000000000000000454,id_49199397,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.705481154729721,59.89399878023229]}"
0000000000000000048b,id_50684245,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.705481154729721,59.89399878023229]}"
00000000000000000613,id_10318265,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.705481154729721,59.89399878023229]}"
000000000000000007ee,id_30168842,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.705481154729721,59.89399878023229]}"
00000000000000000459,id_4941560,11.0,11.0,11.0,3.0,1.0,9.0,"{""type"":""Point"",""coordinates"":[10.678904912451184,60.10387083041377]}"
00000000000000000824,id_31233565,11.0,11.0,11.0,3.0,1.0,9.0,"{""type"":""Point"",""coordinates"":[10.678904912451184,60.10387083041377]}"
0000000000000000020b,id_76253989,1.0,1.0,1.0,5.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[10.693677914241249,59.91489858686978]}"
00000000000000000a4e,id_71795628,1.0,1.0,1.0,5.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[10.693677914241249,59.91489858686978]}"
00000000000000000429,id_41794599,6.0,6.0,6.0,10.0,10.0,6.0,"{""type"":""Point"",""coordinates"":[10.708138778957574,59.949202451273955]}"
000000000000000005a6,id_47024814,6.0,6.0,6.0,10.0,10.0,6.0,"{""type"":""Point"",""coordinates"":[10.708138778957574,59.949202451273955]}"
000000000000000006d6,id_14366760,9.0,9.0,1.0,13.0,13.0,1.0,"{""type"":""Point"",""coordinates"":[10.62220744255662,60.077544297794226]}"
000000000000000007c0,id_28413811,15.0,16.0,12.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.789847346660913,60.01673553672838]}"
00000000000000000920,id_36085950,15.0,16.0,12.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.789847346660913,60.01673553672838]}"
0000000000000000031b,id_79451903,1.0,1.0,1.0,2.0,1.0,5.0,"{""type"":""Point"",""coordinates"":[10.661893441932285,59.916022280335255]}"
000000000000000007b1,id_28132083,1.0,1.0,1.0,2.0,1.0,5.0,"{""type"":""Point"",""coordinates"":[10.661893441932285,59.916022280335255]}"
0000000000000000006f,id_85406807,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.887782583097746,59.83672608630183]}"
0000000000000000021a,id_93894919,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.887782583097746,59.83672608630183]}"
00000000000000000994,id_67257840,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.887782583097746,59.83672608630183]}"
00000000000000000afe,id_59357880,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.887782583097746,59.83672608630183]}"
00000000000000000bc6,id_64303396,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.887782583097746,59.83672608630183]}"
000000000000000008b7,id_34028565,1.0,1.0,1.0,2.0,2.0,6.0,"{""type"":""Point"",""coordinates"":[10.753412031953209,59.89444914943869]}"
000000000000000005e2,id_402835,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.772082288063986,59.82881118193196]}"
00000000000000000852,id_32094844,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.772082288063986,59.82881118193196]}"
000000000000000009e7,id_69303910,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.772082288063986,59.82881118193196]}"
00000000000000000b8e,id_62478797,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.772082288063986,59.82881118193196]}"
00000000000000000baa,id_63358219,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.772082288063986,59.82881118193196]}"
00000000000000000367,id_81110827,6.0,6.0,6.0,11.0,10.0,10.0,"{""type"":""Point"",""coordinates"":[10.810943353744769,59.8315178562714]}"
000000000000000001b6,id_92519330,11.0,11.0,11.0,3.0,3.0,11.0,"{""type"":""Point"",""coordinates"":[10.825230313520011,59.975114287495515]}"
00000000000000000267,id_95328177,8.0,8.0,16.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.86666873960968,59.842143894081765]}"
0000000000000000027c,id_95750489,8.0,8.0,16.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.86666873960968,59.842143894081765]}"
00000000000000000033,id_84098248,2.0,3.0,7.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.675565045762154,59.91755621109765]}"
00000000000000000796,id_27542080,1.0,1.0,1.0,5.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[10.717881914759355,59.88485762307273]}"
000000000000000000c4,id_87271302,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.755721846298895,59.904388485686816]}"
00000000000000000456,id_493619,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.755721846298895,59.904388485686816]}"
0000000000000000099f,id_67498122,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.755721846298895,59.904388485686816]}"
000000000000000009cf,id_68569216,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.755721846298895,59.904388485686816]}"
00000000000000000272,id_95550991,6.0,6.0,6.0,8.0,8.0,16.0,"{""type"":""Point"",""coordinates"":[10.899001681348219,59.9647335002431]}"
00000000000000000b29,id_60078707,6.0,6.0,6.0,8.0,8.0,16.0,"{""type"":""Point"",""coordinates"":[10.899001681348219,59.9647335002431]}"
000000000000000002c7,id_77451123,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.659222440401273,60.0344247906074]}"
000000000000000002fb,id_78774650,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.659222440401273,60.0344247906074]}"
000000000000000007ed,id_30132181,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.659222440401273,60.0344247906074]}"
00000000000000000aac,id_57345453,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.659222440401273,60.0344247906074]}"
00000000000000000ae2,id_58484402,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.659222440401273,60.0344247906074]}"
00000000000000000b84,id_62263603,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.659222440401273,60.0344247906074]}"
0000000000000000090b,id_3568358,6.0,6.0,6.0,8.0,8.0,16.0,"{""type"":""Point"",""coordinates"":[10.739570982283315,59.95795120754081]}"
0000000000000000059c,id_46745323,6.0,7.0,7.0,6.0,8.0,8.0,"{""type"":""Point"",""coordinates"":[10.871167972572609,59.976269194668355]}"
000000000000000001d7,id_934764,11.0,11.0,11.0,12.0,12.0,16.0,"{""type"":""Point"",""coordinates"":[10.905699251130493,59.90355909289087]}"
00000000000000000208,id_76226022,11.0,11.0,11.0,12.0,12.0,16.0,"{""type"":""Point"",""coordinates"":[10.905699251130493,59.90355909289087]}"
000000000000000003f5,id_74121604,11.0,11.0,11.0,12.0,12.0,16.0,"{""type"":""Point"",""coordinates"":[10.905699251130493,59.90355909289087]}"
000000000000000004ff,id_42880617,11.0,11.0,11.0,12.0,12.0,16.0,"{""type"":""Point"",""coordinates"":[10.905699251130493,59.90355909289087]}"
000000000000000008e4,id_34987719,11.0,11.0,11.0,12.0,12.0,16.0,"{""type"":""Point"",""coordinates"":[10.905699251130493,59.90355909289087]}"
0000000000000000025f,id_95200843,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.747343195419472,60.00688538250132]}"
00000000000000000339,id_80239634,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.747343195419472,60.00688538250132]}"
0000000000000000046e,id_49894204,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.747343195419472,60.00688538250132]}"
000000000000000004f7,id_42694973,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.747343195419472,60.00688538250132]}"
00000000000000000825,id_31240039,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.747343195419472,60.00688538250132]}"
0000000000000000038d,id_8197710,6.0,6.0,6.0,6.0,8.0,8.0,"{""type"":""Point"",""coordinates"":[10.890890576532,59.95757664305233]}"
0000000000000000014d,id_90200913,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.565148785476726,60.02273302764528]}"
00000000000000000b2e,id_60226337,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.565148785476726,60.02273302764528]}"
00000000000000000083,id_8582623,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.661723996092258,59.96982133454508]}"
00000000000000000329,id_79903325,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.661723996092258,59.96982133454508]}"
00000000000000000512,id_43250952,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.661723996092258,59.96982133454508]}"
000000000000000005e4,id_40294880,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.661723996092258,59.96982133454508]}"
000000000000000005ee,id_40648414,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.661723996092258,59.96982133454508]}"
000000000000000000ac,id_86725519,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.582004187458752,59.98867441379905]}"
0000000000000000041a,id_41459864,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.582004187458752,59.98867441379905]}"
00000000000000000826,id_31254649,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.582004187458752,59.98867441379905]}"
00000000000000000bc3,id_64221589,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.582004187458752,59.98867441379905]}"
000000000000000002eb,id_78376084,10.0,10.0,6.0,14.0,14.0,6.0,"{""type"":""Point"",""coordinates"":[10.603077899037334,60.016708782122066]}"
000000000000000008fa,id_35353026,10.0,10.0,6.0,14.0,14.0,6.0,"{""type"":""Point"",""coordinates"":[10.603077899037334,60.016708782122066]}"
00000000000000000068,id_85271160,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.850236952227736,59.81938464230498]}"
00000000000000000147,id_90051983,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.850236952227736,59.81938464230498]}"
00000000000000000247,id_94759627,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.850236952227736,59.81938464230498]}"
00000000000000000252,id_95002441,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.850236952227736,59.81938464230498]}"
00000000000000000546,id_44472983,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.850236952227736,59.81938464230498]}"
00000000000000000286,id_95946821,6.0,6.0,6.0,16.0,15.0,15.0,"{""type"":""Point"",""coordinates"":[10.685187785835488,59.89919809206061]}"
0000000000000000032f,id_79992596,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.794257397602776,59.906024975773434]}"
000000000000000003cb,id_83667601,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.794257397602776,59.906024975773434]}"
0000000000000000046c,id_49842893,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.794257397602776,59.906024975773434]}"
00000000000000000804,id_30633664,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.794257397602776,59.906024975773434]}"
00000000000000000814,id_31016716,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.794257397602776,59.906024975773434]}"
00000000000000000b1d,id_59908270,6.0,5.0,5.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.719340040803829,59.906212258017675]}"
00000000000000000320,id_79594499,9.0,11.0,3.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.751374222771785,60.07626007669084]}"
0000000000000000095a,id_66093404,1.0,1.0,1.0,6.0,5.0,5.0,"{""type"":""Point"",""coordinates"":[10.76628545669451,59.884398335664216]}"
000000000000000009ea,id_69344571,1.0,1.0,1.0,5.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[10.697579627663014,59.91080513210272]}"
0000000000000000024a,id_94828682,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.913475923367702,59.9361417442884]}"
00000000000000000544,id_44457323,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.913475923367702,59.9361417442884]}"
000000000000000005bc,id_47380257,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.913475923367702,59.9361417442884]}"
0000000000000000084d,id_3197585,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.913475923367702,59.9361417442884]}"
000000000000000008ff,id_3548402,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.913475923367702,59.9361417442884]}"
000000000000000009a2,id_67535773,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.913475923367702,59.9361417442884]}"
00000000000000000296,id_96387661,9.0,11.0,3.0,3.0,3.0,11.0,"{""type"":""Point"",""coordinates"":[10.786489643567673,59.994417735955885]}"
000000000000000003f4,id_74070447,9.0,11.0,3.0,3.0,3.0,11.0,"{""type"":""Point"",""coordinates"":[10.786489643567673,59.994417735955885]}"
000000000000000006d0,id_14245160,9.0,11.0,3.0,3.0,3.0,11.0,"{""type"":""Point"",""coordinates"":[10.786489643567673,59.994417735955885]}"
00000000000000000af7,id_59133139,9.0,11.0,3.0,3.0,3.0,11.0,"{""type"":""Point"",""coordinates"":[10.786489643567673,59.994417735955885]}"
00000000000000000b2b,id_60129739,11.0,11.0,11.0,3.0,1.0,9.0,"{""type"":""Point"",""coordinates"":[10.88458986674348,59.979042755523615]}"
0000000000000000031f,id_79556854,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.775560386885676,59.82714793723903]}"
00000000000000000424,id_41661206,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.775560386885676,59.82714793723903]}"
000000000000000004fc,id_42774833,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.775560386885676,59.82714793723903]}"
00000000000000000882,id_3293985,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.750946149070653,60.10886502359362]}"
00000000000000000b4f,id_60944966,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.750946149070653,60.10886502359362]}"
00000000000000000060,id_84941786,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.797757791929728,59.96749814289623]}"
00000000000000000972,id_66622478,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.797757791929728,59.96749814289623]}"
00000000000000000802,id_30611533,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.718189592732042,60.074088494477806]}"
000000000000000001ba,id_92642216,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.906247720560067,59.97235410394343]}"
000000000000000001ce,id_93334493,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.906247720560067,59.97235410394343]}"
0000000000000000035f,id_8095984,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.906247720560067,59.97235410394343]}"
000000000000000005f1,id_40711282,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.906247720560067,59.97235410394343]}"
000000000000000008e6,id_350147,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.906247720560067,59.97235410394343]}"
0000000000000000027e,id_95826490,11.0,11.0,11.0,12.0,12.0,16.0,"{""type"":""Point"",""coordinates"":[10.557822482445912,60.042486845312034]}"
00000000000000000292,id_96284128,11.0,11.0,11.0,12.0,12.0,16.0,"{""type"":""Point"",""coordinates"":[10.557822482445912,60.042486845312034]}"
000000000000000006b6,id_13734427,11.0,11.0,11.0,12.0,12.0,16.0,"{""type"":""Point"",""coordinates"":[10.557822482445912,60.042486845312034]}"
000000000000000008ab,id_33805992,11.0,11.0,11.0,12.0,12.0,16.0,"{""type"":""Point"",""coordinates"":[10.557822482445912,60.042486845312034]}"
000000000000000008b9,id_3405780,14.0,16.0,8.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.847387586654584,59.8291233190057]}"
00000000000000000b35,id_60362021,14.0,16.0,8.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.847387586654584,59.8291233190057]}"
000000000000000002ce,id_7770311,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.755039603837716,59.96933083342921]}"
0000000000000000032b,id_79926360,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.755039603837716,59.96933083342921]}"
00000000000000000335,id_80208076,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.755039603837716,59.96933083342921]}"
0000000000000000058f,id_46444096,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.755039603837716,59.96933083342921]}"
0000000000000000070b,id_15453087,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.755039603837716,59.96933083342921]}"
00000000000000000b13,id_59753539,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.755039603837716,59.96933083342921]}"
00000000000000000511,id_43244281,10.0,11.0,7.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.924507739373928,59.97514104210184]}"
000000000000000008c8,id_34382335,13.0,13.0,1.0,8.0,6.0,14.0,"{""type"":""Point"",""coordinates"":[10.804557921036233,59.92123942856779]}"
00000000000000000ade,id_58375520,11.0,10.0,10.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.79905093123523,59.83599033462801]}"
00000000000000000018,id_75133602,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.903826428688046,59.91140265164388]}"
000000000000000000b6,id_8703956,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.903826428688046,59.91140265164388]}"
0000000000000000068e,id_1290596,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.903826428688046,59.91140265164388]}"
000000000000000007cc,id_29363650,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.903826428688046,59.91140265164388]}"
00000000000000000234,id_94450614,6.0,5.0,5.0,5.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[10.825150049701048,59.91502790080034]}"
000000000000000009a9,id_67685125,4.0,1.0,13.0,4.0,1.0,13.0,"{""type"":""Point"",""coordinates"":[10.586851230303846,60.06746672941345]}"
00000000000000000402,id_74528270,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.758352715920429,59.886476276755126]}"
00000000000000000225,id_94033709,8.0,7.0,15.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.832757276098226,59.88752862460374]}"
0000000000000000021e,id_9394400,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.695394668146825,60.036212890129846]}"
0000000000000000049d,id_51058361,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.695394668146825,60.036212890129846]}"
000000000000000005c2,id_47445256,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.695394668146825,60.036212890129846]}"
00000000000000000715,id_15739991,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.695394668146825,60.036212890129846]}"
00000000000000000a45,id_71602794,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.695394668146825,60.036212890129846]}"
00000000000000000418,id_41367076,2.0,2.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.699274086063323,59.95443297680964]}"
000000000000000002db,id_77977512,14.0,14.0,6.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.772532657270384,59.83392577084027]}"
0000000000000000033a,id_80239757,14.0,14.0,6.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.772532657270384,59.83392577084027]}"
00000000000000000951,id_65882650,6.0,6.0,6.0,14.0,14.0,6.0,"{""type"":""Point"",""coordinates"":[10.772621839291455,59.91610700325528]}"
00000000000000000024,id_75391730,11.0,12.0,12.0,11.0,12.0,12.0,"{""type"":""Point"",""coordinates"":[10.523465108829113,60.01764965244434]}"
000000000000000000a1,id_86554317,11.0,12.0,12.0,11.0,12.0,12.0,"{""type"":""Point"",""coordinates"":[10.523465108829113,60.01764965244434]}"
0000000000000000077d,id_26883997,11.0,12.0,12.0,11.0,12.0,12.0,"{""type"":""Point"",""coordinates"":[10.523465108829113,60.01764965244434]}"
00000000000000000966,id_6630988,11.0,12.0,12.0,11.0,12.0,12.0,"{""type"":""Point"",""coordinates"":[10.523465108829113,60.01764965244434]}"
