system:index,PLOTID,dw_2015_2018,dw_2015_2021,dw_2018_2021,me_2015_2018,me_2015_2021,me_2018_2021,.geo
000000000000000000c0,id_87230420,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
00000000000000000328,id_79877100,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
00000000000000000413,id_41314349,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
000000000000000004dc,id_52651357,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
000000000000000006c1,id_13921063,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.682267074645482,60.007460606537215]}"
000000000000000001b2,id_9243281,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.744707866696883,59.987519506626214]}"
00000000000000000206,id_76179617,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.744707866696883,59.987519506626214]}"
000000000000000002d2,id_77762697,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.744707866696883,59.987519506626214]}"
00000000000000000748,id_25441758,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.744707866696883,59.987519506626214]}"
00000000000000000a6c,id_72412770,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.744707866696883,59.987519506626214]}"
000000000000000006e7,id_14763262,11.0,11.0,11.0,15.0,15.0,11.0,"{""type"":""Point"",""coordinates"":[10.552507233990207,60.040123521753706]}"
000000000000000007f3,id_30262790,11.0,11.0,11.0,1.0,3.0,3.0,"{""type"":""Point"",""coordinates"":[10.654477956880406,60.068706359506294]}"
000000000000000002c2,id_77331503,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.73168729162082,60.05729551991054]}"
0000000000000000044b,id_49045114,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.73168729162082,60.05729551991054]}"
000000000000000005b7,id_47307313,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.73168729162082,60.05729551991054]}"
0000000000000000084b,id_31959991,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.73168729162082,60.05729551991054]}"
000000000000000009a5,id_67612391,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.73168729162082,60.05729551991054]}"
00000000000000000a00,id_7009047,12.0,11.0,15.0,12.0,12.0,16.0,"{""type"":""Point"",""coordinates"":[10.75306422207104,59.99639311772256]}"
000000000000000001a0,id_92077395,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.556680952576231,60.018251631086564]}"
000000000000000005dc,id_4806721,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.556680952576231,60.018251631086564]}"
000000000000000007be,id_28396033,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.556680952576231,60.018251631086564]}"
000000000000000009f4,id_69642727,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.556680952576231,60.018251631086564]}"
00000000000000000557,id_44970063,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.584028619337014,60.01603991696405]}"
00000000000000000605,id_41112314,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.584028619337014,60.01603991696405]}"
0000000000000000076f,id_26642507,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.584028619337014,60.01603991696405]}"
00000000000000000a52,id_71847894,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.584028619337014,60.01603991696405]}"
00000000000000000b6a,id_61753686,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.584028619337014,60.01603991696405]}"
00000000000000000b81,id_62218456,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.584028619337014,60.01603991696405]}"
0000000000000000069c,id_1313928,9.0,9.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.816842744438475,60.04115357409705]}"
000000000000000003cd,id_83684457,12.0,11.0,15.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.631277254099327,59.96274474117327]}"
000000000000000000d0,id_87528260,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.762793980569661,59.852199166957284]}"
0000000000000000010a,id_88907986,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.762793980569661,59.852199166957284]}"
00000000000000000a82,id_7308395,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.762793980569661,59.852199166957284]}"
000000000000000005cc,id_47698282,5.0,6.0,2.0,7.0,6.0,10.0,"{""type"":""Point"",""coordinates"":[10.75852216176046,59.96066234098131]}"
0000000000000000049b,id_51001703,11.0,11.0,11.0,9.0,9.0,1.0,"{""type"":""Point"",""coordinates"":[10.776144529123675,60.05221660381066]}"
00000000000000000233,id_9442670,6.0,7.0,7.0,6.0,8.0,8.0,"{""type"":""Point"",""coordinates"":[10.872800003558169,59.976603627247364]}"
0000000000000000026a,id_95403599,11.0,12.0,12.0,11.0,12.0,12.0,"{""type"":""Point"",""coordinates"":[10.547004703290256,60.018456749735016]}"
0000000000000000061b,id_10482053,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.59432468366942,60.006305699364376]}"
0000000000000000079f,id_27793355,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.59432468366942,60.006305699364376]}"
00000000000000000531,id_44009580,16.0,15.0,15.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.543878873451787,60.01687376886104]}"
00000000000000000682,id_12581439,16.0,15.0,15.0,16.0,16.0,16.0,"{""type"":""Point"",""coordinates"":[10.543878873451787,60.01687376886104]}"
0000000000000000019b,id_92004471,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.714274502007115,60.01594181674087]}"
00000000000000000251,id_94998515,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.714274502007115,60.01594181674087]}"
00000000000000000821,id_3120768,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.714274502007115,60.01594181674087]}"
000000000000000008c5,id_34325633,1.0,1.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.714274502007115,60.01594181674087]}"
